fecha,punto_verde,unidad,cantidad,kg_residuos_secos_reciclables,destino,observaciones
2019/09/30,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/10/04,Parque Camba Cua,kg,20,20,Cooperativa Fortaleza,NULL
2019/10/04,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/07,Santa Catalina,kg,2,2,Cooperativa Fortaleza,NULL
2019/10/07,Plaza Libertad,kg,50,50,Cooperativa Fortaleza,NULL
2019/10/07,Parque Camba Cua,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/11,Parque Camba Cua,kg,4,4,Cooperativa Fortaleza,NULL
2019/10/11,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/09/30,Santa Catalina,kg,2.5,2.5,Cooperativa Fortaleza,NULL
2019/09/30,Plaza Libertad,kg,3,3,Cooperativa Fortaleza,NULL
2019/09/30,Parque Camba Cua,kg,5,5,Cooperativa Fortaleza,NULL
2019/10/14,Santa Catalina,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2019/10/14,Plaza Libertad,kg,35,35,Cooperativa Fortaleza,NULL
2019/10/14,Parque Camba Cua,kg,10,10,Cooperativa Fortaleza,NULL
2019/10/18,Parque Camba Cua,kg,3,3,Cooperativa Fortaleza,NULL
2019/10/18,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/21,Santa Catalina,kg,25,25,Cooperativa Fortaleza,NULL
2019/10/21,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/21,Parque Camba Cua,kg,15,15,Cooperativa Fortaleza,NULL
2019/10/25,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2019/10/25,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/28,Santa Catalina,kg,2,2,Cooperativa Fortaleza,NULL
2019/10/28,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/10/28,Parque Camba Cua,kg,25,25,Cooperativa Fortaleza,NULL
2019/11/01,Parque Camba Cua,kg,20,20,Cooperativa Fortaleza,NULL
2019/11/01,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/11/04,Santa Catalina,kg,1.5,1.5,Cooperativa Fortaleza,NULL
2019/11/04,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/11/11,Plaza Libertad,kg,30,30,Cooperativa Fortaleza,NULL
2019/11/15,Plaza Libertad,kg,25,25,Cooperativa Fortaleza,NULL
2019/11/18,Plaza Libertad,kg,46,46,Cooperativa Fortaleza,NULL
